Фраза;2025-01-01;2025-02-01;2025-03-01;2025-04-01;2025-05-01;2025-06-01;2025-07-01;2025-08-01;2025-09-01;2025-10-01;2025-11-01;2025-12-01;2026-01-01;2026-02-01;2026-03-01;2026-04-01
"невский ооо";7530;8415;8711;7972;6780;6843;8039;7429;7854;8489;7562;7642;5587;6964;7549;8304
"котел невский";735;681;709;616;545;587;677;944;1084;1252;845;614;459;616;645;494
nevskiy;1882;1873;2159;1959;1937;1694;1965;1779;1842;2017;2106;1369;2113;2016;2356;1749
нвск;254;219;253;281;239;262;252;393;366;429;542;380;267;249;287;286
энергооборудование;1724;1995;2200;2083;1609;1632;1839;1635;1796;1933;1855;1515;1362;1338;1805;1803
"нвк официальный сайт";725;853;833;826;644;560;616;430;494;585;458;391;280;308;663;601
"производство котлов";7539;8389;7678;7357;6728;6462;7029;7233;9144;10583;9310;8374;7828;7399;7280;6899
"котел невский официальный сайт";30;39;60;32;25;38;46;38;79;68;56;48;25;27;36;25
"невская компания";4512;4616;4682;4515;3996;4505;4880;4557;4545;4870;4410;4207;3790;3845;4714;4669
"невский сайт";63558;62742;66225;67342;56568;56573;57381;65820;70098;69101;58541;56875;52274;52903;63097;64962
"котлы водонагреватели";3609;3599;3249;3191;3107;3174;3415;3465;4313;4668;4090;3717;3554;3073;3455;3152
"невское оборудование";584;606;487;480;368;351;358;419;464;473;376;365;263;284;383;288
"nvsk net";31;32;33;30;19;15;41;32;40;30;45;30;19;27;16;18
"невский котел электрический официальный сайт";0;14;25;8;12;9;13;16;31;36;16;12;14;11;8;7
"невский каталог";2725;2689;2753;2216;2114;1950;1983;2245;1922;2635;2382;2182;2095;1783;1929;1809
"котлы санкт петербург";1816;1449;1423;1470;1404;1509;1907;1950;1813;2284;2002;1580;1709;1537;1159;1312
"производство котлов отопления";623;686;627;633;567;573;499;628;677;759;609;489;628;562;513;372
"невский официальный сайт";56562;57272;60425;61290;52038;51816;52818;60852;64865;64034;53515;52093;46646;48296;57649;58660
"невский контакт";4241;4591;4229;4035;3681;3462;3709;3647;3557;4416;4760;4135;3441;3334;3612;3772
nvsk;91;109;108;106;52;38;92;73;75;105;88;101;53;72;50;70
"производители водонагревателей в россии";14;21;75;31;48;27;27;31;130;34;25;14;20;47;20;11
электрокотел;196226;177911;132432;102368;93886;91828;107829;157372;236210;318777;273104;266207;245658;172332;124597;111262
"котлы электрические";147402;143445;114696;102726;97404;88243;97151;131462;196544;246967;206189;198579;175219;139350;112974;116213
"электрические котлы отопления";40026;38462;31991;32156;32624;22729;24303;33537;58075;69072;59536;55707;49080;41056;35018;40020
"котел отопительный электрический";4782;4525;3693;3029;2787;2701;3070;4622;6126;7402;5892;5402;5871;4259;3374;3814
"купить электрокотел";14969;13547;10145;8019;7770;7940;9765;13285;18480;22341;17755;16699;16102;11047;7874;7485
"котлы для отопления";164285;160578;125032;106056;101863;104324;115616;143956;182500;216908;180295;171448;194452;150323;107453;100285
"купить электрический котел";9638;9109;6884;5628;5695;5662;7035;9611;12192;15113;11503;10095;9610;6957;5328;5459
"электрокотел на 220в для отопления частного дома";2298;2016;1524;1095;1152;1303;1346;1978;2263;2730;2236;1830;2194;1447;862;584
"электрокотел отопления";44803;39786;28791;22759;21312;22224;25909;37750;51644;65782;54655;49205;49528;36039;24965;23099
